style,ISc2,GC_S,GC_P,GC_C,gender,age,birth,ethnic,religion,school,class,major,firstlang,secondlang,intl_travel,s_abroad,travel,studyabroad
1,111,34,24,41,F,TRAD,US,NON-WHITE,Non-Christian,6,Undergraduate,Secondary,NON-ENGLISH,2,1,,Never,0
1,88,22,27,38,F,TRAD,US,NON-WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,2,1,,Never,0
1,87,23,28,40,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,3,,TwoFour,0
1,85,16,18,34,M,TRAD,US,NON-WHITE,Non-Christian,9,Undergraduate,Secondary,ENGLISH,1,3,,TwoFour,0
1,85,24,27,37,F,TRAD,US,WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,2,3,,TwoFour,0
1,72,11,23,23,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,84,19,26,30,F,TRAD,US,WHITE,Non-Christian,9,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,88,20,23,34,F,TRAD,NON-US,NON-WHITE,Non-Christian,9,Undergraduate,Other,NON-ENGLISH,1,3,,TwoFour,0
1,95,17,30,41,F,NON-TRAD,US,WHITE,Christian,9,Undergraduate,Other,ENGLISH,2,3,,TwoFour,0
1,82,14,20,30,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,1,,Never,0
1,94,22,24,39,M,TRAD,US,WHITE,Christian,9,Graduate,Secondary,ENGLISH,1,3,1,TwoFour,1
1,105,28,27,46,F,TRAD,US,WHITE,Christian,10,Graduate,Secondary,ENGLISH,2,4,1,FiveSeven,1
1,75,14,23,25,F,TRAD,US,WHITE,Christian,10,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,92,32,26,50,F,TRAD,US,NON-WHITE,Non-Christian,10,Graduate,Eled,ENGLISH,2,3,,TwoFour,0
1,80,17,16,31,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,91,10,22,35,F,NON-TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,75,11,21,35,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,88,19,21,34,F,NON-TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,93,21,28,46,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,2,,Once,0
1,99,22,28,39,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,2,3,,TwoFour,0
1,95,25,22,43,F,TRAD,US,WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,84,18,27,38,F,TRAD,US,WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,86,15,24,40,F,TRAD,US,WHITE,Non-Christian,9,Undergraduate,Eled,ENGLISH,2,5,,Eight_plus,0
1,73,18,15,38,F,NON-TRAD,US,WHITE,Christian,10,Graduate,Other,ENGLISH,1,4,,FiveSeven,0
1,75,19,19,31,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,NON-ENGLISH,1,2,,Once,0
1,93,21,27,39,F,TRAD,US,WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,89,18,18,34,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,SpEd,ENGLISH,1,1,,Never,0
