University,Year,Class,ID,IS1,IS2,IS3,IS4,IS5,IS6,IS7,IS8,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS16,IS17,IS18,IS19,IS20,IS21,IS22,IS23,IS24,IS25,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,GC14,GC15,GC16,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24,gender,age,japan_citizen,other_citizen,ethnicity,ethnicity_text,religion,religion_txt,undergrad_grad,class_year,class_year_txt,major,faculty,firstlang,firstlang_txt,secondlang,secondlang_txt,SecondLang_Proficiency,SecondLang_Frequency,SecondLang_Frequency_txt,International_Travel_Count,Travel_Purpose,Travel_Purpose_txt,Notes
K,1,3,26,3,1,2,4,3,2,2,1,4,2,2,4,2,2,3,3,1,1,4,2,2,2,1,4,4,4,2,4,5,4,3,3,1,2,3,2,2,2,1,1,1,3,2,1,1,1,4,2,3,1,19,1,,1,,6,,1,1,,学校教育学類英語教育専修,,1,,1,英語,3,2,,0,,,
K,1,3,27,2,2,3,3,2,2,3,2,3,2,2,2,3,3,3,3,3,1,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,3,2,3,2,19,1,,1,,1,,1,1,,総合教育部,,1,,0,,,,,2,2,,
K,1,3,28,2,2,4,4,4,1,4,2,3,3,3,4,4,2,2,4,3,1,4,4,1,3,2,3,2,4,3,4,3,3,3,4,3,2,2,2,2,3,4,1,1,2,3,2,3,2,4,2,3,1,20,1,,1,,1,,1,1,,学校教育,,1,,1,,2,5,,1,5,高校の修学旅行,母国語の他に使えるコミュニケーションの手段　不明
K,1,4,1,2,2,2,3,3,1,2,1,3,2,2,3,4,2,2,3,2,1,3,2,2,1,1,3,3,4,3,4,3,2,1,2,2,2,2,1,2,3,1,1,1,3,3,2,2,2,5,2,3,2,19,1,,1,,1,,1,1,,経済,,1,,0,,,,,0,,,
K,1,4,2,3,1,2,3,2,4,2,4,2,2,2,4,3,2,2,4,3,1,3,1,1,2,2,3,2,4,4,4,3,2,4,2,3,1,1,4,1,2,2,1,1,3,2,1,3,1,3,2,4,2,19,1,,1,,1,,1,1,,総合教学学部　文系,,1,,1,汉語,1,7,,2,5,中学・高校の修学旅行,
K,1,4,3,3,2,3,2,2,2,2,3,4,3,1,2,4,2,3,4,3,2,3,2,4,3,1,1,2,1,2,2,2,1,2,3,3,4,3,3,3,5,3,2,4,3,1,3,3,3,2,3,4,2,19,1,,1,,7,神道,1,1,,経済,,1,,0,,,,,0,,,
K,1,4,4,3,2,3,4,4,5,2,1,2,1,2,3,2,2,3,2,5,1,3,2,2,3,1,2,2,3,2,4,3,2,2,2,3,4,4,5,4,4,5,5,1,2,1,3,3,1,2,2,4,2,19,1,,1,,5,,1,1,,教育学部音楽科音楽教育専攻,,1,,1,英語、イタリア語、ドイツ語,"1,3",1,,6,5,,渡航目的　詳細不明
K,1,4,5,2,3,1,4,2,1,2,1,5,4,3,4,3,2,4,4,3,1,4,2,2,4,1,4,5,3,3,5,4,3,3,3,2,3,2,1,4,4,1,1,1,3,4,1,5,3,4,4,5,2,19,1,,1,,6,,1,1,,人間社会学域　地域創造学類,,1,,1,英語,2,2,,0,,,
K,1,4,6,3,2,3,2,3,3,2,2,3,4,3,3,3,3,3,2,2,1,3,3,3,3,2,3,2,3,2,3,3,3,3,3,1,3,3,2,3,3,3,4,1,4,2,3,3,3,3,3,3,1,20,1,,1,,1,,1,1,,総合教育部文系,,1,,0,,,,,3,2,,
K,1,4,7,2,2,3,3,3,4,2,2,2,2,3,3,2,4,3,4,2,1,3,2,2,2,1,3,2,3,3,3,3,2,2,3,1,2,1,1,2,2,1,1,1,2,3,2,2,2,4,2,3,1,18,1,,1,,1,,1,1,,人間社会学域地域創造学類,,1,,0,,,,,1,5,中学の部活動で,
